,mse,mae,r2,rmse
next_avg_finish,10.602352456725377,2.565080220037037,0.72059387993163,3.2561253748474392
next_win_rate,0.0028025334752373146,0.036673674202977555,0.6270214105312768,0.052938959899466426
next_top5_rate,0.011042536418118854,0.07772397500878368,0.752709407775353,0.10508347357276906
next_top10_rate,0.015442149550421332,0.0958834181883269,0.6912728238914077,0.12426644579459627
performance_score,0.054039763090814125,0.181891617588082,0.35150680448207416,0.2324645415774503
seasons_to_peak,4.87491269032309,1.5009712312215318,0.2796845460427858,2.20792044474503
career_progress,0.005337869596085724,0.05724766795499403,0.8478598523926973,0.0730607254007632
peak_timing,0.055174140817577384,0.18909307819096333,0.344457308226653,0.23489176404799164
overall,1.95263801749959,0.5880706102990871,,1.3973682469197553
